count,full_price,area,pv,overprice,pv+overprice,number,project_name,preset
1,6817078,48.31,1370232.68,855624.0,2225856.68,1,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3993a3d09f.png
2,6595533,46.74,1325702.13,827817.0,2153519.13,8,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b399405dba0.png
3,6751333,48.82,1357017.93,726945.0,2083962.93,10,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3994208267.png
4,6966000,46.44,1400166.0,1235304.0,2635470.0,18,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b399553bcb5.png
5,7203000,48.31,1447803.0,1241546.0,2689349.0,21,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3994d6ac7b.png
6,7281000,48.54,1463481.0,1291164.0,2754645.0,30,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3995783eaf.png
7,7203000,48.31,1447803.0,1241546.0,2689349.0,41,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3994d6ac7b.png
8,7297533,47.94,1466804.13,1381737.0,2848541.13,51,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b39966eef4c.png
9,7058544,46.37,1418767.34,1336486.0,2755253.34,58,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b399a947725.png
10,7058544,46.37,1418767.34,1336486.0,2755253.34,78,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b399a947725.png
11,8140611,60.55,1636262.81,668741.0,2305003.81,81,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c348b05f6b9.png
12,7050244,52.01,1417099.04,632210.0,2049309.04,85,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c348b3115fa.png
13,8175356,60.31,1643246.56,733102.0,2376348.56,87,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b62c3f30.png
14,6790267,48.12,1364843.67,852259.0,2217102.67,88,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b64663fb.png
15,7125000,51.3,1432125.0,794580.0,2226705.0,91,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b6be4b6c.png
16,8175356,60.31,1643246.56,733102.0,2376348.56,93,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b62c3f30.png
17,6790267,48.12,1364843.67,852259.0,2217102.67,94,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b64663fb.png
18,7125000,51.3,1432125.0,794580.0,2226705.0,97,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b6be4b6c.png
19,8175356,60.31,1643246.56,733102.0,2376348.56,99,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b62c3f30.png
20,6790267,48.12,1364843.67,852259.0,2217102.67,100,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b64663fb.png
21,7125000,51.3,1432125.0,794580.0,2226705.0,103,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35b6be4b6c.png
22,8232800,60.24,1654792.8,799184.0,2453976.8,105,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c0d1de36.png
23,7113889,51.22,1429891.69,793341.0,2223232.69,109,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c1434837.png
24,8232800,60.24,1654792.8,799184.0,2453976.8,111,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c0d1de36.png
25,7113889,51.22,1429891.69,793341.0,2223232.69,115,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c1434837.png
26,8232800,60.24,1654792.8,799184.0,2453976.8,117,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c0d1de36.png
27,6939111,48.04,1394761.31,1010975.0,2405736.31,118,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c0ed44ef.png
28,7113889,51.22,1429891.69,793341.0,2223232.69,121,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c1434837.png
29,8232800,60.24,1654792.8,799184.0,2453976.8,123,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c0d1de36.png
30,7113889,51.22,1429891.69,793341.0,2223232.69,127,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c1434837.png
31,8232800,60.24,1654792.8,799184.0,2453976.8,129,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c0d1de36.png
32,6939111,48.04,1394761.31,1010975.0,2405736.31,130,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35c0ed44ef.png
33,8217767,60.13,1651771.17,797725.0,2449496.17,135,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35d994c42b.png
34,6953556,48.14,1397664.76,1013080.0,2410744.76,136,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35d9c7fa42.png
35,8217767,60.13,1651771.17,797725.0,2449496.17,139,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35e46560ed.png
36,6969444,48.25,1400858.24,1015394.0,2416252.24,140,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c35e4a5faf7.png
37,7261578,51.46,1459577.18,911414.0,2370991.18,150,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384a9b04e5.png
38,7261578,51.46,1459577.18,911414.0,2370991.18,155,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384a9b04e5.png
39,7279900,50.79,1463259.9,1012414.0,2475673.9,162,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384b092cd0.png
40,7261578,51.46,1459577.18,911414.0,2370991.18,165,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384a9b04e5.png
41,7364467,51.38,1480257.87,1024175.0,2504432.87,170,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d268bcb.png
42,7679105,48.33,1543500.1,1715183.0,3258683.1,171,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d4837d6.png
43,7382578,50.72,1483898.18,1123730.0,2607628.18,172,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d657a38.png
44,7364467,51.38,1480257.87,1024175.0,2504432.87,175,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d268bcb.png
45,7679105,48.33,1543500.1,1715183.0,3258683.1,176,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d4837d6.png
46,7382578,50.72,1483898.18,1123730.0,2607628.18,177,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d657a38.png
47,7364467,51.38,1480257.87,1024175.0,2504432.87,180,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d268bcb.png
48,7382578,50.72,1483898.18,1123730.0,2607628.18,182,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d657a38.png
49,7364467,51.38,1480257.87,1024175.0,2504432.87,185,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d268bcb.png
50,7382578,50.72,1483898.18,1123730.0,2607628.18,187,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d657a38.png
51,7364467,51.38,1480257.87,1024175.0,2504432.87,190,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384d268bcb.png
52,7582478,51.31,1524078.08,1250824.0,2774902.08,195,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384e75a44a.png
53,7596000,50.64,1526796.0,1347024.0,2873820.0,197,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384ec9b272.png
54,7582478,51.31,1524078.08,1250824.0,2774902.08,200,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c384e75a44a.png
55,9113889,48.25,1831891.69,3159839.0,4991730.69,216,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65c385129498a.png
56,7098000,49.14,1426698.0,1034124.0,2460822.0,226,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a4105cde8.png
57,7098000,49.14,1426698.0,1034124.0,2460822.0,231,Мегаполис,https://pb9457.profitbase.ru/uploads/preset/9457/65b3a4105cde8.png
